,img_src,label,label_index,one_hot
18,./datasets\PlantDoc\Apple Scab Leaf\Apple-Scab-image-01.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,./datasets\PlantDoc\Apple Scab Leaf\Apple-Scab-image-02.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-leaf-big.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,./datasets\PlantDoc\Apple Scab Leaf\Apple-Scab-Mulrooney.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-obst-krankheit-m7akxy.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,./datasets\PlantDoc\Apple Scab Leaf\Apple-scab-on-crab-apple.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-venturia-inaequalis-early-leaf-infection-and-mycelium-AW0TTX.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-venturia-inaequalis-early-leaf-infection-and-mycelium-bxbd0k.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-venturia-inaequalis-early-leaf-infection-and-mycelium-bxbd23.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-venturia-inaequalis-germinated-from-a-spore-shower-on-an-apple-leaf-X31BGG.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-venturia-inaequalis-germinated-from-a-spore-shower-on-an-aw08hw.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-venturia-inaequalis-leaf-symptoms-on-tree-dark-fungal-pustules-aceg6b.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-venturia-inaequalis-lesions-mycelium-on-leaves-a8h9nb.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,./datasets\PlantDoc\Apple Scab Leaf\Apple-Scab.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,./datasets\PlantDoc\Apple Scab Leaf\Apple-Scab1.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,./datasets\PlantDoc\Apple Scab Leaf\Apple-Scab_1_1.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,./datasets\PlantDoc\Apple Scab Leaf\apple-scab_figure-2.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,./datasets\PlantDoc\Apple Scab Leaf\apples-severely-affected-by-apple-scab-venturia-inaequalis-dgk11a.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,./datasets\PlantDoc\Apple Scab Leaf\applescab-500x383.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,./datasets\PlantDoc\Apple Scab Leaf\applescab.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,./datasets\PlantDoc\Apple Scab Leaf\AppleScab.JPG.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,./datasets\PlantDoc\Apple Scab Leaf\applescab004.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,./datasets\PlantDoc\Apple Scab Leaf\AppleScab02.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,./datasets\PlantDoc\Apple Scab Leaf\AppleScab03.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,./datasets\PlantDoc\Apple Scab Leaf\AppleScab14.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,./datasets\PlantDoc\Apple Scab Leaf\applescab2.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,./datasets\PlantDoc\Apple Scab Leaf\applescableaf-pcd.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,./datasets\PlantDoc\Apple Scab Leaf\applescableaf.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,./datasets\PlantDoc\Apple Scab Leaf\applescabmalus1.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,./datasets\PlantDoc\Apple Scab Leaf\applescab_lf.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,./datasets\PlantDoc\Apple Scab Leaf\apples_apple-scab_01_zoom.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,./datasets\PlantDoc\Apple Scab Leaf\apples_apple-scab_02_thm.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,./datasets\PlantDoc\Apple Scab Leaf\apples_apple-scab_02_zoom.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,./datasets\PlantDoc\Apple Scab Leaf\apples_apple-scab_03_zoom.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,./datasets\PlantDoc\Apple Scab Leaf\apples_apple-scab_10_zoom.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,./datasets\PlantDoc\Apple Scab Leaf\appletree%20leaf.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,./datasets\PlantDoc\Apple Scab Leaf\apple_scab.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,./datasets\PlantDoc\Apple Scab Leaf\Apple_scab.jpg_t=1473441220256&width=300&height=200&name=Apple_scab.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,./datasets\PlantDoc\Apple Scab Leaf\apple_scab1.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,./datasets\PlantDoc\Apple Scab Leaf\Apple_Scab163.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,./datasets\PlantDoc\Apple Scab Leaf\apple_scab2.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,./datasets\PlantDoc\Apple Scab Leaf\apple_scab_1465_180.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,./datasets\PlantDoc\Apple Scab Leaf\apple_scab_early_jc_sm.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,./datasets\PlantDoc\Apple Scab Leaf\Apple_scab_symptoms_on_leaf.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,./datasets\PlantDoc\Apple Scab Leaf\appscab.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,./datasets\PlantDoc\Apple Scab Leaf\branch-with-ill-leaf-of-apple-scab-disease-picture-id928917010_k=6&m=928917010&s=612x612&w=0&h=UY6EBbnGkTzVcp4Tm8myYO7KoIOtrZo3VRDrd91qslo=.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,./datasets\PlantDoc\Apple Scab Leaf\crabapple%20scab%20Snowdrift%201%20Crab%206-24-16.JPG.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,./datasets\PlantDoc\Apple Scab Leaf\disease-on-fruit-scab-on-apple-tree-j1r0jp.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,./datasets\PlantDoc\Apple Scab Leaf\DSC00005.JPG.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,./datasets\PlantDoc\Apple Scab Leaf\DSCF1248-1gz1wpc.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,./datasets\PlantDoc\Apple Scab Leaf\early-symptoms-of-scab-venturia-inaequalis-on-apple-leaves-AW051N.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,./datasets\PlantDoc\Apple Scab Leaf\early_symptoms_of_crabapple_scab_on_prairifire.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,./datasets\PlantDoc\Apple Scab Leaf\image0002.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,./datasets\PlantDoc\Apple Scab Leaf\image005.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,./datasets\PlantDoc\Apple Scab Leaf\img_1916.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,./datasets\PlantDoc\Apple Scab Leaf\img_1920.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,./datasets\PlantDoc\Apple Scab Leaf\IMG_3166_1500x1500%253E.JPG_1473520197.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,./datasets\PlantDoc\Apple Scab Leaf\IMG_3455-xjgwni-1024x1024.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,./datasets\PlantDoc\Apple Scab Leaf\img_6415.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,./datasets\PlantDoc\Apple Scab Leaf\inaequalis1a.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,./datasets\PlantDoc\Apple Scab Leaf\inaequalis1b.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,./datasets\PlantDoc\Apple Scab Leaf\Malus-Scab-disease-225x300.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,./datasets\PlantDoc\Apple Scab Leaf\s-l300.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,./datasets\PlantDoc\Apple Scab Leaf\Scab+close-up5846.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,./datasets\PlantDoc\Apple Scab Leaf\scab-apple-leaf.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,./datasets\PlantDoc\Apple Scab Leaf\scab-disease-apple-leaf-macro-62212448.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,./datasets\PlantDoc\Apple Scab Leaf\scab-disease-small.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,./datasets\PlantDoc\Apple Scab Leaf\scab-on-foliage-300x259.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,./datasets\PlantDoc\Apple Scab Leaf\scab-on-tall-spindle-apple-tree-d3phw6.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,./datasets\PlantDoc\Apple Scab Leaf\scab-venturia-inaequalis-development-of-disease-on-the-stem-upper-B359MJ.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,./datasets\PlantDoc\Apple Scab Leaf\scab_large.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,./datasets\PlantDoc\Apple Scab Leaf\scab_on_leaf.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,./datasets\PlantDoc\Apple Scab Leaf\schurft.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,./datasets\PlantDoc\Apple Scab Leaf\seriously-unwell-apple-tree-fruit-brown-and-split-yellow-spots-on-leaves-scab-P67H27.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,./datasets\PlantDoc\Apple Scab Leaf\venturia.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,./datasets\PlantDoc\Apple leaf\20130519yellowingappleleaves.jpg,Apple leaf,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,./datasets\PlantDoc\Apple leaf\2017-09-23-07-48-04.jpg,Apple leaf,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
